Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Donte DiVincenzo,471,0.61,0.51,0.1,0.3,0.2,0.0,0.0,0.1,0.4,66.67%,1.92,1,18,0.0
Naz Reid,438,1.65,1.43,0.22,0.55,0.66,0.22,0.11,0.11,0.88,53.33%,1.87,5,12,0.11
Jaden McDaniels,466,1.55,1.55,0.0,1.24,0.31,0.0,0.0,0.0,0.72,46.67%,1.34,4,9,0.0
Bones Hyland,219,0.87,0.87,0.0,0.43,0.22,0.22,0.0,0.0,0.87,100.00%,1.52,2,5,0.0
Terrence Shannon Jr.,164,0.29,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.00%,1.45,0,5,0.0
Rudy Gobert,427,3.14,3.14,0.0,0.78,1.79,0.56,0.0,0.0,1.79,57.14%,0.9,1,7,0.34
Julius Randle,408,0.24,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.24,100.00%,2.24,10,9,0.0
Mike Conley,272,0.72,0.54,0.18,0.18,0.18,0.18,0.0,0.18,0.36,50.00%,1.8,3,7,0.0
Jaylen Clark,179,0.53,0.53,0.0,0.27,0.27,0.0,0.0,0.0,0.53,100.00%,2.93,6,5,0.0
Rob Dillingham,174,0.54,0.54,0.0,0.0,0.54,0.0,0.0,0.0,0.54,100.00%,3.0,3,8,0.0
Joe Ingles,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Johnny Juzang,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Leonard Miller,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Joan Beringer,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
